graph_id,graph_class,n,m,cycle_rank,connected,num_involutions_checked,num_candidates,edges_json,notes
C12_ref_chords_a,reflected_chord_cycle,12,16,5,True,1,1,"[[0, 1], [0, 11], [1, 2], [1, 4], [2, 3], [2, 6], [3, 4], [4, 5], [5, 6], [6, 7], [6, 10], [7, 8], [8, 9], [8, 11], [9, 10], [10, 11]]",C12 with reflection-closed chords.
C14_ref_chords_a,reflected_chord_cycle,14,18,5,True,1,1,"[[0, 1], [0, 13], [1, 2], [1, 5], [2, 3], [3, 4], [3, 7], [4, 5], [5, 6], [6, 7], [7, 8], [7, 11], [8, 9], [9, 10], [9, 13], [10, 11], [11, 12], [12, 13]]",C14 with reflection-closed chords.
C16_ref_chords_a,reflected_chord_cycle,16,22,7,True,1,1,"[[0, 1], [0, 15], [1, 2], [1, 5], [2, 3], [2, 8], [3, 4], [3, 11], [4, 5], [5, 6], [5, 13], [6, 7], [7, 8], [8, 9], [8, 14], [9, 10], [10, 11], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]",C16 with reflection-closed chords.
C16_ref_chords_b,reflected_chord_cycle,16,22,7,True,1,1,"[[0, 1], [0, 15], [1, 2], [1, 7], [2, 3], [2, 6], [3, 4], [4, 5], [4, 10], [5, 6], [6, 7], [6, 12], [7, 8], [8, 9], [9, 10], [9, 15], [10, 11], [10, 14], [11, 12], [12, 13], [13, 14], [14, 15]]",Alternative C16 reflection-closed chord support.
ladder_4,ladder,8,10,3,True,3,0,"[[0, 1], [0, 4], [1, 2], [1, 5], [2, 3], [2, 6], [3, 7], [4, 5], [5, 6], [6, 7]]",2x4 ladder graph.
ladder_5,ladder,10,13,4,True,3,0,"[[0, 1], [0, 5], [1, 2], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [4, 9], [5, 6], [6, 7], [7, 8], [8, 9]]",2x5 ladder graph.
ladder_6,ladder,12,16,5,True,3,0,"[[0, 1], [0, 6], [1, 2], [1, 7], [2, 3], [2, 8], [3, 4], [3, 9], [4, 5], [4, 10], [5, 11], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11]]",2x6 ladder graph.
ladder_8,ladder,16,22,7,True,3,0,"[[0, 1], [0, 8], [1, 2], [1, 9], [2, 3], [2, 10], [3, 4], [3, 11], [4, 5], [4, 12], [5, 6], [5, 13], [6, 7], [6, 14], [7, 15], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]",2x8 ladder graph.
ladder_10,ladder,20,28,9,True,3,0,"[[0, 1], [0, 10], [1, 2], [1, 11], [2, 3], [2, 12], [3, 4], [3, 13], [4, 5], [4, 14], [5, 6], [5, 15], [6, 7], [6, 16], [7, 8], [7, 17], [8, 9], [8, 18], [9, 19], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19]]",2x10 ladder graph.
circular_ladder_4,circular_ladder,8,12,5,True,19,0,"[[0, 1], [0, 3], [0, 4], [1, 2], [1, 5], [2, 3], [2, 6], [3, 7], [4, 5], [4, 7], [5, 6], [6, 7]]",Circular ladder with 8 vertices.
circular_ladder_5,circular_ladder,10,15,6,True,11,0,"[[0, 1], [0, 4], [0, 5], [1, 2], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [4, 9], [5, 6], [5, 9], [6, 7], [7, 8], [8, 9]]",Circular ladder with 10 vertices.
circular_ladder_6,circular_ladder,12,18,7,True,15,0,"[[0, 1], [0, 5], [0, 6], [1, 2], [1, 7], [2, 3], [2, 8], [3, 4], [3, 9], [4, 5], [4, 10], [5, 11], [6, 7], [6, 11], [7, 8], [8, 9], [9, 10], [10, 11]]",Circular ladder with 12 vertices.
circular_ladder_8,circular_ladder,16,24,9,True,19,0,"[[0, 1], [0, 7], [0, 8], [1, 2], [1, 9], [2, 3], [2, 10], [3, 4], [3, 11], [4, 5], [4, 12], [5, 6], [5, 13], [6, 7], [6, 14], [7, 15], [8, 9], [8, 15], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]",Circular ladder with 16 vertices.
grid_3x3,grid,9,12,4,True,5,6,"[[0, 1], [0, 3], [1, 2], [1, 4], [2, 5], [3, 4], [3, 6], [4, 5], [4, 7], [5, 8], [6, 7], [7, 8]]",Rectangular grid graph.
grid_diag_3x3,grid_with_diagonals,9,16,8,True,9,0,"[[0, 1], [0, 3], [0, 4], [1, 2], [1, 4], [2, 4], [2, 5], [3, 4], [3, 6], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8], [6, 7], [7, 8]]",Grid graph with alternating diagonals.
grid_3x4,grid,12,17,6,True,3,0,"[[0, 1], [0, 4], [1, 2], [1, 5], [2, 3], [2, 6], [3, 7], [4, 5], [4, 8], [5, 6], [5, 9], [6, 7], [6, 10], [7, 11], [8, 9], [9, 10], [10, 11]]",Rectangular grid graph.
grid_diag_3x4,grid_with_diagonals,12,23,12,True,1,0,"[[0, 1], [0, 4], [0, 5], [1, 2], [1, 5], [2, 3], [2, 5], [2, 6], [2, 7], [3, 7], [4, 5], [4, 8], [5, 6], [5, 8], [5, 9], [5, 10], [6, 7], [6, 10], [7, 10], [7, 11], [8, 9], [9, 10], [10, 11]]",Grid graph with alternating diagonals.
grid_4x4,grid,16,24,9,True,5,12,"[[0, 1], [0, 4], [1, 2], [1, 5], [2, 3], [2, 6], [3, 7], [4, 5], [4, 8], [5, 6], [5, 9], [6, 7], [6, 10], [7, 11], [8, 9], [8, 12], [9, 10], [9, 13], [10, 11], [10, 14], [11, 15], [12, 13], [13, 14], [14, 15]]",Rectangular grid graph.
grid_diag_4x4,grid_with_diagonals,16,33,18,True,3,6,"[[0, 1], [0, 4], [0, 5], [1, 2], [1, 5], [2, 3], [2, 5], [2, 6], [2, 7], [3, 7], [4, 5], [4, 8], [5, 6], [5, 8], [5, 9], [5, 10], [6, 7], [6, 10], [7, 10], [7, 11], [8, 9], [8, 12], [8, 13], [9, 10], [9, 13], [10, 11], [10, 13], [10, 14], [10, 15], [11, 15], [12, 13], [13, 14], [14, 15]]",Grid graph with alternating diagonals.
grid_3x5,grid,15,22,8,True,3,0,"[[0, 1], [0, 5], [1, 2], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [4, 9], [5, 6], [5, 10], [6, 7], [6, 11], [7, 8], [7, 12], [8, 9], [8, 13], [9, 14], [10, 11], [11, 12], [12, 13], [13, 14]]",Rectangular grid graph.
grid_diag_3x5,grid_with_diagonals,15,30,16,True,3,0,"[[0, 1], [0, 5], [0, 6], [1, 2], [1, 6], [2, 3], [2, 6], [2, 7], [2, 8], [3, 4], [3, 8], [4, 8], [4, 9], [5, 6], [5, 10], [6, 7], [6, 10], [6, 11], [6, 12], [7, 8], [7, 12], [8, 9], [8, 12], [8, 13], [8, 14], [9, 14], [10, 11], [11, 12], [12, 13], [13, 14]]",Grid graph with alternating diagonals.
cube_Q3,hypercube,8,12,5,True,19,0,"[[0, 1], [0, 2], [0, 4], [1, 3], [1, 5], [2, 3], [2, 6], [3, 7], [4, 5], [4, 6], [5, 7], [6, 7]]",3-cube graph.
octahedral,platonic,6,12,7,True,19,6,"[[0, 1], [0, 2], [0, 3], [0, 4], [1, 2], [1, 3], [1, 5], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5]]",Octahedral graph.
